wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
240,W_JoaquinRiquelme,w_joaquinriquelme-2,https://editoriallarueca.com/wp-content/uploads/W_JoaquinRiquelme.tif,,,,,W_JoaquinRiquelme.tif
241,W_JoaquinRiquelme,w_joaquinriquelme-3,https://editoriallarueca.com/wp-content/uploads/W_JoaquinRiquelme-1.tif,,,,,W_JoaquinRiquelme-1.tif
243,w_desdeBcn,w_desdebcn,https://editoriallarueca.com/wp-content/uploads/w_desdeBcn.jpg,,image/jpeg,1811,2560,w_desdeBcn-scaled.jpg
245,icon-cart-black,icon-cart-black,https://editoriallarueca.com/wp-content/uploads/icon-cart-black.svg,,,150,150,icon-cart-black.svg
246,icon-cart-red,icon-cart-red,https://editoriallarueca.com/wp-content/uploads/icon-cart-red.svg,,,150,150,icon-cart-red.svg
247,icon-cart-white,icon-cart-white,https://editoriallarueca.com/wp-content/uploads/icon-cart-white.svg,,,150,150,icon-cart-white.svg
252,W_cub_Luna_Rafa,w_cub_luna_rafa,https://editoriallarueca.com/wp-content/uploads/W_cub_Luna_Rafa.jpg,,image/jpeg,1833,2560,W_cub_Luna_Rafa-scaled.jpg
254,w_rss_Nagasaki,w_rss_nagasaki,https://editoriallarueca.com/wp-content/uploads/w_rss_Nagasaki.tif,,,,,w_rss_Nagasaki.tif
255,w_rss_Nagasaki,w_rss_nagasaki-2,https://editoriallarueca.com/wp-content/uploads/w_rss_Nagasaki.jpg,,image/jpeg,1417,2035,w_rss_Nagasaki.jpg
257,w_desdeBcn,w_desdebcn-2,https://editoriallarueca.com/wp-content/uploads/w_desdeBcn-1.jpg,,image/jpeg,551,827,w_desdeBcn-1.jpg
258,Obra de arte e ilustración,obra-de-arte-e-ilustracion-4,https://editoriallarueca.com/wp-content/uploads/w_Ajusticiados-2.jpg,,image/jpeg,551,827,w_Ajusticiados-2.jpg
260,W_Teoría,w_teoria,https://editoriallarueca.com/wp-content/uploads/W_Teoria.jpg,,image/jpeg,1363,2004,W_Teoria.jpg
