groupId,classification,canonicalAuthorId,authorId,name,slug,normalizedName,slugBase,bookCount,isPublished,isFeatured,isArchived,hasPhoto,hasBiography,conflicts
author-duplicate-001,LIKELY_DUPLICATE,be762ecc-3a56-4465-a5f3-652f2f3c2948,be762ecc-3a56-4465-a5f3-652f2f3c2948,Alejandro González García,alejandro-gonzalez-garcia,alejandro gonzalez garcia,alejandro-gonzalez-garcia,1,true,false,false,true,false,photoUrl
author-duplicate-001,LIKELY_DUPLICATE,be762ecc-3a56-4465-a5f3-652f2f3c2948,8cc22564-0351-408e-a140-73784e3d8132,Alejandro González García,alejandro-gonzalez-garcia-2,alejandro gonzalez garcia,alejandro-gonzalez-garcia,1,true,false,false,true,false,photoUrl
author-duplicate-002,HIGH_CONFIDENCE_DUPLICATE,40e7551d-0507-4900-93dc-4fe8246f0631,40e7551d-0507-4900-93dc-4fe8246f0631,Alfredo Manrique Bravo,alfredo-manrique-bravo,alfredo manrique bravo,alfredo-manrique-bravo,1,true,false,false,true,false,
author-duplicate-002,HIGH_CONFIDENCE_DUPLICATE,40e7551d-0507-4900-93dc-4fe8246f0631,2afe4f99-fb57-4e42-b955-beda631c589c,Alfredo Manrique Bravo,alfredo-manrique-bravo-2,alfredo manrique bravo,alfredo-manrique-bravo,0,true,false,false,false,true,
author-duplicate-003,LIKELY_DUPLICATE,20e726be-e3e9-4e3f-a4a3-91d1ae0e23ef,20e726be-e3e9-4e3f-a4a3-91d1ae0e23ef,Alonso Cruz León,alonso-cruz-leon,alonso cruz leon,alonso-cruz-leon,1,true,false,false,true,false,photoUrl
author-duplicate-003,LIKELY_DUPLICATE,20e726be-e3e9-4e3f-a4a3-91d1ae0e23ef,3e635624-60bf-42ef-8ec8-f836d910a217,Alonso Cruz León,alonso-cruz-leon-2,alonso cruz leon,alonso-cruz-leon,1,true,false,false,true,false,photoUrl
author-duplicate-003,LIKELY_DUPLICATE,20e726be-e3e9-4e3f-a4a3-91d1ae0e23ef,d77c0c68-3c5c-4b4f-8dd5-ec8b0ff8ee6b,Alonso Cruz León,alonso-cruz-leon-3,alonso cruz leon,alonso-cruz-leon,1,true,false,false,true,false,photoUrl
author-duplicate-004,LIKELY_DUPLICATE,ddc02801-7185-4902-a353-304247dfe612,ddc02801-7185-4902-a353-304247dfe612,Ana Córdoba del Campo,ana-cordoba-del-campo,ana cordoba del campo,ana-cordoba-del-campo,1,true,false,false,true,false,photoUrl
author-duplicate-004,LIKELY_DUPLICATE,ddc02801-7185-4902-a353-304247dfe612,10c300bc-c089-43c6-ab8d-b9a605d03112,Ana Córdoba del Campo,ana-cordoba-del-campo-2,ana cordoba del campo,ana-cordoba-del-campo,1,true,false,false,true,false,photoUrl
author-duplicate-005,LIKELY_DUPLICATE,588e277a-5ec3-4e3e-8223-2fc85bb7a760,588e277a-5ec3-4e3e-8223-2fc85bb7a760,Ángel García García-Muñoz (BÜRU),angel-garcia-garcia-munoz-buru,angel garcia garcia munoz buru,angel-garcia-garcia-munoz-buru,1,true,false,false,true,false,photoUrl
author-duplicate-005,LIKELY_DUPLICATE,588e277a-5ec3-4e3e-8223-2fc85bb7a760,2c78a9d3-afb1-4be5-b267-440f785a8b3a,Ángel García  García-Muñoz  (Büru),angel-garcia-garcia-munoz-buru-2,angel garcia garcia munoz buru,angel-garcia-garcia-munoz-buru,1,true,false,false,true,false,photoUrl
author-duplicate-006,HIGH_CONFIDENCE_DUPLICATE,54a7bd3c-b01a-426a-8520-d92407084306,54a7bd3c-b01a-426a-8520-d92407084306,Antonio L.  Gómez Charlín,antonio-l-gomez-charlin,antonio l gomez charlin,antonio-l-gomez-charlin,1,true,false,false,true,false,
author-duplicate-006,HIGH_CONFIDENCE_DUPLICATE,54a7bd3c-b01a-426a-8520-d92407084306,8c0b7900-6f88-4e43-9867-b7df101136f1,Antonio L. Gómez Charlín,antonio-l-gomez-charlin-2,antonio l gomez charlin,antonio-l-gomez-charlin,0,true,false,false,false,true,
author-duplicate-007,LIKELY_DUPLICATE,1ae9b8a0-bcea-476d-98b5-864165874efe,1ae9b8a0-bcea-476d-98b5-864165874efe,Antonio López Hurtado Zárate,antonio-lopez-hurtado-zarate,antonio lopez hurtado zarate,antonio-lopez-hurtado-zarate,1,true,false,false,true,false,photoUrl
author-duplicate-007,LIKELY_DUPLICATE,1ae9b8a0-bcea-476d-98b5-864165874efe,a6b000b5-007f-4ea7-a7a3-7df42235cb7a,"Antonio López Hurtado ""Zárate""",antonio-lopez-hurtado-zarate-2,antonio lopez hurtado zarate,antonio-lopez-hurtado-zarate,1,true,false,false,true,false,photoUrl
author-duplicate-007,LIKELY_DUPLICATE,1ae9b8a0-bcea-476d-98b5-864165874efe,41be7a29-44d6-4f30-9508-4367a489f8e7,Antonio López Hurtado (Zárate),antonio-lopez-hurtado-zarate-3,antonio lopez hurtado zarate,antonio-lopez-hurtado-zarate,1,true,false,false,true,false,photoUrl
author-duplicate-007,LIKELY_DUPLICATE,1ae9b8a0-bcea-476d-98b5-864165874efe,c5f9058f-c3d6-48a4-ba52-b62e30fbcc07,Antonio López Hurtado (Zárate),antonio-lopez-hurtado-zarate-4,antonio lopez hurtado zarate,antonio-lopez-hurtado-zarate,0,true,false,false,false,true,photoUrl
author-duplicate-008,LIKELY_DUPLICATE,5cc4fcee-932a-4d79-976d-bb48dd2d2228,5cc4fcee-932a-4d79-976d-bb48dd2d2228,Antonio Valdeavero Ponce,antonio-valdeavero-ponce,antonio valdeavero ponce,antonio-valdeavero-ponce,1,true,false,false,true,false,photoUrl
author-duplicate-008,LIKELY_DUPLICATE,5cc4fcee-932a-4d79-976d-bb48dd2d2228,70453231-8ea8-41c8-8560-69e26d2c81ba,Antonio Valdeavero Ponce,antonio-valdeavero-ponce-2,antonio valdeavero ponce,antonio-valdeavero-ponce,1,true,false,false,true,false,photoUrl
author-duplicate-009,LIKELY_DUPLICATE,a87b9700-5ec6-45e4-bf2b-b8aa2328e118,a87b9700-5ec6-45e4-bf2b-b8aa2328e118,Carlos José Olmedo Batista,carlos-jose-olmedo-batista,carlos jose olmedo batista,carlos-jose-olmedo-batista,1,true,false,false,true,false,photoUrl
