candidateKey,sourceWpPostId,title,author,proposedDecision,adjudicationDecision,confidence,winnerUrl,winnerFilename,positiveCoverScore,negativeAuthorScore,finalScore,winnerGap,selectedImageUrl,selectedImageFilename,selectionSource,explanation
"book:apuesta personal","1172","APUESTA PERSONAL","Iñaki Azkona","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_InakiPortada.jpg","w_InakiPortada.jpg","75","35","40","80","https://editoriallarueca.com/wp-content/uploads/w_InakiPortada.jpg","w_InakiPortada.jpg","none","Existen senales contradictorias graves de foto de autor."
"book:banquero de carlos v a emilio botin","633","banquero de Carlos V a Emilio Botín","Alonso Cruz León","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_Banquero_AlonsoC.jpg","w_Banquero_AlonsoC.jpg","83","35","48","30","https://editoriallarueca.com/wp-content/uploads/w_Banquero_AlonsoC.jpg","w_Banquero_AlonsoC.jpg","none","Existen senales contradictorias graves de foto de autor."
"book:beretricce el palacio velado","1313","BERETRICCE – El palacio Velado","Melchor Albrig","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_BerectriccePortada.jpg","w_BerectriccePortada.jpg","75","0","75","65","https://editoriallarueca.com/wp-content/uploads/w_BerectriccePortada.jpg","w_BerectriccePortada.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:biodiversidad sostenibilidad supervivencia e inmortalidad","802","BIODIVERSIDAD - Sostenibilidad, Supervivencia e Inmortalidad","GASPAR T. JIMENO DIESTRO","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_BiodervisidadPortada.jpg","w_BiodervisidadPortada.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/w_BiodervisidadPortada.jpg","w_BiodervisidadPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:con su permiso don alvaro historias de viso del marques","1367","Con su permiso Don Álvaro – Historias de Viso del Marqués","Andrés Morales y Ana Córdoba del Campo","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_portadaWeb-1.jpg","w_portadaWeb-1.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/w_portadaWeb-1.jpg","w_portadaWeb-1.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:cuando su mirada pasaba por halley","568","Cuando su mirada pasaba por Halley","Jaime Caba","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/Imagen7778.jpg","Imagen7778-scaled.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/Imagen7778.jpg","Imagen7778-scaled.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:cuentos para amara la nieve y amara toca el tambor","1302","CUENTOS PARA AMARA - La Nieve y Amara toca el tambor","Francisco Marín Vargas","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_Portadaweb.jpg","w_Portadaweb.jpg","75","0","75","100","https://editoriallarueca.com/wp-content/uploads/w_Portadaweb.jpg","w_Portadaweb.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 100 >= 25"
"book:cuentos para amara dona bota la burbuja de mar","1348","CUENTOS PARA AMARA – Doña Bota – La Burbuja de Mar","Francisco Marín Vargas","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_quedamosPortada.jpg","w_quedamosPortada.jpg","75","0","75","4","https://editoriallarueca.com/wp-content/uploads/w_quedamosPortada.jpg","w_quedamosPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:de barro y silencio","1167","De barro y silencio","Francisco Marín Vargas","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_BarroPortada.jpg","w_BarroPortada.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_BarroPortada.jpg","w_BarroPortada.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:de estrellas gaviotas y poemas","1073","De estrellas, gaviotas y poemas","Paco Daza Selma","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/PacoDazaMockup.png","PacoDazaMockup-scaled.png","10","50","-40","120","https://editoriallarueca.com/wp-content/uploads/PacoDazaMockup.png","PacoDazaMockup-scaled.png","none","positiveCoverScore insuficiente. | negativeAuthorScore demasiado alto. | Existen senales contradictorias graves de foto de autor."
"book:de juan a juan el musical el libreto y un relato","1052","De Juan a Juan: El musical – El Libreto y un Relato","Ricardo Rodríguez López","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_DeamonLilithPortada.jpg","w_DeamonLilithPortada.jpg","75","0","75","19","https://editoriallarueca.com/wp-content/uploads/w_DeamonLilithPortada.jpg","w_DeamonLilithPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:de kolpino a krasny bor","592","DE KOLPINO A KRASNY BOR, ","José Argimiro Cordobés Pérez","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_A-lo-largo-del-Camino_jpg.jpg","w_A-lo-largo-del-Camino_jpg.jpg","75","0","75","27","https://editoriallarueca.com/wp-content/uploads/w_A-lo-largo-del-Camino_jpg.jpg","w_A-lo-largo-del-Camino_jpg.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 27 >= 25"
"book:de los rollos del mar muerto a los de rodrigo de lares tomo 2","1686","DE LOS ROLLOS DEL MAR MUERTO A LOS DE RODRIGO DE LARES  -TOMO 2-","Antonio Valdeavero Ponce","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_PajaroPortada.jpg","w_PajaroPortada-scaled.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/w_PajaroPortada.jpg","w_PajaroPortada-scaled.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:de los rollos del mar muerto a los de rodrigo de lares una narracion audaz para un lector mas inteligente que lerdo belmonte ano 2017 al 2022 libro 1","938","DE LOS ROLLOS DEL MAR MUERTO A LOS DE RODRIGO DE LARES  ”“una narración audaz para un lector más inteligente que lerdo” Belmonte año 2017 al 2022. LIBRO 1","Antonio Valdeavero Ponce","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/W_MarMuertoPortada.jpg","W_MarMuertoPortada.jpg","95","0","95","12","https://editoriallarueca.com/wp-content/uploads/W_MarMuertoPortada.jpg","W_MarMuertoPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:de origine nostra fatum nostrum","1518","De Origine Nostra Fatum Nostrum","Raimundo del Valle","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_Portada-6.jpg","w_Portada-6-scaled.jpg","75","0","75","68","https://editoriallarueca.com/wp-content/uploads/w_Portada-6.jpg","w_Portada-6-scaled.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 68 >= 25"
"book:detras de la corteza","990","Detrás de la corteza","Jerónimo Campoy Muñoz","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_CortezaPortada.jpg","w_CortezaPortada.jpg","83","0","83","8","https://editoriallarueca.com/wp-content/uploads/w_CortezaPortada.jpg","w_CortezaPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:diario de un comunero","835","Diario de un Comunero","José Ignacio Miguelsanz","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_Portada.jpg","w_Portada.jpg","75","0","75","65","https://editoriallarueca.com/wp-content/uploads/w_Portada.jpg","w_Portada.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:duns scoto versus tomas de aquino la debilidad del neocalcedonismo tomista","1094","Duns Scoto versus Tomás de Aquino: La debilidad del Neocalcedonismo Tomista","Marcelino Valiño Vidal","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_DunsScotoPortada002.jpg","w_DunsScotoPortada002.jpg","91","0","91","16","https://editoriallarueca.com/wp-content/uploads/w_DunsScotoPortada002.jpg","w_DunsScotoPortada002.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:el camino del angel la realidad de un sueno","813","El camino del ángel (La realidad de un sueño)","Ángel García García-Muñoz (BÜRU)","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/W_PortadaCaminoDelAngel.jpg","W_PortadaCaminoDelAngel.jpg","91","35","56","34","https://editoriallarueca.com/wp-content/uploads/W_PortadaCaminoDelAngel.jpg","W_PortadaCaminoDelAngel.jpg","none","Existen senales contradictorias graves de foto de autor."
"book:el canto de las raices cartografias del ser y existir","1392","El canto de las raíces – Cartografías del ser y existir","Inés Cañal","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_portada_ElCantoWeb.jpg","w_portada_ElCantoWeb.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_portada_ElCantoWeb.jpg","w_portada_ElCantoWeb.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:el cierzo tatuado","1325","El Cierzo Tatuado","José Antonio Galante Pérez","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/portada-libro.jpg","portada-libro.jpg","87","0","87","4","https://editoriallarueca.com/wp-content/uploads/portada-libro.jpg","portada-libro.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:el delgado hilo de la vida","640","El delgado hilo de la vida","JChamCri","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/fondo-home-2.jpg","fondo-home-2.jpg","22","0","22","4","https://editoriallarueca.com/wp-content/uploads/fondo-home-2.jpg","fondo-home-2.jpg","none","positiveCoverScore insuficiente. | Diferencia frente a la segunda candidata insuficiente."
"book:el joven fenix el resurgir de los dioses egipcios","657","El Joven Fénix (El resurgir de los dioses egipcios)","Marta Susana Pecaric","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/MockUp_Fenix_pixe.jpg","MockUp_Fenix_pixe.jpg","83","0","83","76","https://editoriallarueca.com/wp-content/uploads/MockUp_Fenix_pixe.jpg","MockUp_Fenix_pixe.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 76 >= 25"
"book:el maestro de salamanca consideracion del derecho internacional humanitario","969","El maestro de Salamanca. Consideración del Derecho Internacional Humanitario.","Juana Hernández Conesa","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_2portada.jpg","w_2portada.jpg","75","0","75","53","https://editoriallarueca.com/wp-content/uploads/w_2portada.jpg","w_2portada.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 53 >= 25"
"book:el panuelo de marino","1024","El pañuelo de Marino","Anta Pemyné","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_PanueloPortada.jpg","w_PanueloPortada.jpg","83","0","83","8","https://editoriallarueca.com/wp-content/uploads/w_PanueloPortada.jpg","w_PanueloPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:el perfume de las emociones","1113","El perfume de las emociones","Luz Stella","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_PerfumePortada002.jpg","w_PerfumePortada002.jpg","83","0","83","8","https://editoriallarueca.com/wp-content/uploads/w_PerfumePortada002.jpg","w_PerfumePortada002.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:el poder de la educacion nos hace infinitos","623","El poder de la educación nos hace infinitos","Norberto Domínguez Jurado","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/W_Compositor.jpg","W_Compositor.jpg","75","0","75","57","https://editoriallarueca.com/wp-content/uploads/W_Compositor.jpg","W_Compositor.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 57 >= 25"
"book:el poder de la magia de la comunicacion","1182","El poder de la magia de la comunicación","Iñaki Domínguez Ledo","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_InakiDominPortada.jpg","w_InakiDominPortada.jpg","75","35","40","30","https://editoriallarueca.com/wp-content/uploads/w_InakiDominPortada.jpg","w_InakiDominPortada.jpg","none","Existen senales contradictorias graves de foto de autor."
"book:el rol principal de una pelicula llamada vida","921","El rol principal de una película llamada VIDA","Diego Gómez-Costa","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_peliculaPortadapeq.jpg","w_peliculaPortadapeq.jpg","83","0","83","80","https://editoriallarueca.com/wp-content/uploads/w_peliculaPortadapeq.jpg","w_peliculaPortadapeq.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 80 >= 25"
